command_vy,command_wz,mean_vy_actual,mean_wz_actual,rmse_vy,rmse_wz,steady_err_vy,steady_err_wz,peak_err_vy,peak_err_wz
-1.0,-1.0,-0.7411548495292664,-0.9170302748680115,0.2615831196308136,0.6267950534820557,-0.24839167296886444,-0.12410171329975128,0.338415265083313,1.853487491607666
-1.0,0.0,-0.6121715903282166,-0.23149634897708893,0.39561784267425537,0.5624325275421143,-0.42992985248565674,0.17990948259830475,0.6379542350769043,1.688605785369873
-1.0,1.0,-0.4855075180530548,0.4959159791469574,0.5173358917236328,0.6739687323570251,-0.4801922142505646,0.5515443682670593,0.6409854292869568,1.7056422233581543
-0.5,-1.0,-0.617722749710083,-0.7482092380523682,0.12900078296661377,0.5553616881370544,0.07717272639274597,-0.23041729629039764,0.24912899732589722,1.209558129310608
-0.5,0.0,-0.37660327553749084,0.07611749321222305,0.12555640935897827,0.269183874130249,-0.11460131406784058,-0.08641113340854645,0.17209330201148987,0.8173629641532898
-0.5,1.0,-0.29318997263908386,0.9025329351425171,0.20845864713191986,0.37558725476264954,-0.20068639516830444,0.08264771103858948,0.26628929376602173,1.1126673221588135
0.0,-1.0,-0.01840103231370449,-1.0702530145645142,0.03106950968503952,0.3749067485332489,0.010430055670440197,0.13784842193126678,0.0739271342754364,1.1562442779541016
0.0,0.0,0.02286808006465435,-0.0057422020472586155,0.07796590775251389,0.11627161502838135,-0.05620783939957619,0.04554685577750206,0.2579229772090912,0.5345715284347534
0.0,1.0,0.072335384786129,0.9547201991081238,0.08413540571928024,0.32261666655540466,-0.08174572139978409,0.06276196241378784,0.18258745968341827,0.9261366128921509
0.5,-1.0,0.24956083297729492,-0.9971898198127747,0.25246721506118774,0.19649362564086914,0.2629769444465637,0.0026164185255765915,0.3881838321685791,0.6129919290542603
0.5,0.0,0.26093336939811707,-0.11884833872318268,0.24002251029014587,0.23894065618515015,0.21924340724945068,0.09280893206596375,0.2804679274559021,0.5846837759017944
0.5,1.0,0.2500366270542145,0.9755556583404541,0.25525954365730286,0.25399333238601685,0.276350736618042,0.0208923127502203,0.43511903285980225,0.6736477613449097
1.0,-1.0,0.283903032541275,-0.8955011963844299,0.716198742389679,0.2740781605243683,0.7113045454025269,-0.14036190509796143,0.7512544989585876,0.8706631660461426
1.0,0.0,0.27004337310791016,-0.1793409287929535,0.7300643920898438,0.25825390219688416,0.7267782092094421,0.16578416526317596,0.7686567306518555,0.8305155038833618
1.0,1.0,0.29350194334983826,0.9535468816757202,0.7065629363059998,0.21248437464237213,0.7049288153648376,0.05394880846142769,0.7244442105293274,0.6347621083259583
