model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,1.62,-1.0,0.0,0.0,4.752005100250244,-5.855833053588867
Ours,1.6400000000000001,-1.0,0.0,0.0,6.469155788421631,-8.3246431350708
Ours,1.6600000000000001,-1.0,0.0,0.0,4.705079078674316,-4.738472938537598
Ours,1.68,-1.0,0.0,0.0,4.141395568847656,-4.044015884399414
Ours,1.7,-1.0,0.0,0.0,6.210178852081299,-7.1999125480651855
Ours,1.72,-1.0,0.0,0.0,7.196531772613525,-4.1779046058654785
Ours,1.74,-1.0,0.0,0.0,3.890573740005493,-6.297222137451172
Ours,1.76,-1.0,0.0,0.0,5.696401119232178,-4.148916721343994
Ours,1.78,-1.0,0.0,0.0,6.97737979888916,-8.078226089477539
Ours,1.8,-1.0,0.0,0.0,3.3880114555358887,-3.988234519958496
Ours,1.82,-1.0,0.0,0.0,9.275636672973633,-8.67963695526123
Ours,1.84,-1.0,0.0,0.0,8.739202499389648,-9.401772499084473
Ours,1.86,-1.0,0.0,0.0,5.2241950035095215,-4.738722801208496
Ours,1.8800000000000001,-1.0,0.0,0.0,6.496262073516846,-4.0186686515808105
Ours,1.9000000000000001,-1.0,0.0,0.0,3.224797248840332,-9.074633598327637
Ours,1.92,-1.0,0.0,0.0,3.716963291168213,-3.492079257965088
Ours,1.94,-1.0,0.0,0.0,5.886728763580322,-3.189187526702881
Ours,1.96,-1.0,0.0,0.0,8.248088836669922,-6.532025337219238
Ours,1.98,-1.0,0.0,0.0,5.594852447509766,-4.859798908233643
Ours,2.0,-1.0,0.0,0.0,6.311481952667236,-6.08892822265625
Ours,2.02,-1.0,0.0,0.0,4.285552978515625,-8.67394733428955
Ours,2.04,-1.0,0.0,0.0,6.578834533691406,-6.973231315612793
Ours,2.06,-1.0,0.0,0.0,4.105393409729004,-3.091007709503174
Ours,2.08,-1.0,0.0,0.0,5.437060832977295,-3.4600775241851807
Ours,2.1,-1.0,0.0,0.0,6.400021076202393,-7.412469863891602
Ours,2.12,-1.0,0.0,0.0,4.83370304107666,-9.851469039916992
Ours,2.14,-1.0,0.0,0.0,7.393826961517334,-6.012773513793945
Ours,2.16,-1.0,0.0,0.0,7.257050514221191,-2.2558412551879883
Ours,2.18,-1.0,0.0,0.0,4.7601470947265625,-5.031428813934326
Ours,2.2,-1.0,0.0,0.0,3.888339042663574,-8.773921966552734
Ours,2.22,-1.0,0.0,0.0,4.8705949783325195,-1.4156999588012695
Ours,2.24,-1.0,0.0,0.0,6.182990074157715,-5.421963691711426
Ours,2.2600000000000002,-1.0,0.0,0.0,3.5591745376586914,-3.292062282562256
Ours,2.2800000000000002,-1.0,0.0,0.0,2.3197617530822754,-5.218416690826416
Ours,2.3000000000000003,-1.0,0.0,0.0,4.840297222137451,-5.090396404266357
Ours,2.32,-1.0,0.0,0.0,4.785153388977051,-4.785774230957031
Ours,2.34,-1.0,0.0,0.0,5.172296524047852,-6.554896354675293
Ours,2.36,-1.0,0.0,0.0,5.287464141845703,-2.7974190711975098
Ours,2.38,-1.0,0.0,0.0,4.132227897644043,-4.695888519287109
Ours,2.4,-1.0,0.0,0.0,4.871924877166748,-6.889960289001465
Ours,2.42,-1.0,0.0,0.0,5.107655048370361,-6.457686424255371
Ours,2.44,-1.0,0.0,0.0,5.52403450012207,-5.929009437561035
Ours,2.46,-1.0,0.0,0.0,5.254703044891357,-4.458202362060547
Ours,2.48,-1.0,0.0,0.0,5.140648365020752,-5.791958808898926
Ours,2.5,-1.0,0.0,0.0,7.2837395668029785,-5.837992191314697
Ours,2.52,-1.0,0.0,0.0,5.5402512550354,-5.817397594451904
Ours,2.54,-1.0,0.0,0.0,6.869050979614258,-7.091843605041504
Ours,2.56,-1.0,0.0,0.0,3.3457226753234863,-2.1463422775268555
Ours,2.58,-1.0,0.0,0.0,7.577960014343262,-6.6818437576293945
Ours,2.6,-1.0,0.0,0.0,4.549458980560303,-4.402597427368164
Ours,2.62,-1.0,0.0,0.0,6.542989730834961,-6.205733299255371
Ours,2.64,-1.0,0.0,0.0,4.325318336486816,-3.9066224098205566
Ours,2.66,-1.0,0.0,0.0,3.987877368927002,-2.8690574169158936
Ours,2.68,-1.0,0.0,0.0,2.244300365447998,-3.192448616027832
Ours,2.7,-1.0,0.0,0.0,7.492227554321289,-6.8270673751831055
Ours,2.72,-1.0,0.0,0.0,5.167910575866699,-6.480781555175781
Ours,2.74,-1.0,0.0,0.0,5.389607906341553,-5.269649028778076
Ours,2.7600000000000002,-1.0,0.0,0.0,6.916456699371338,-5.084507942199707
Ours,2.7800000000000002,-1.0,0.0,0.0,6.014297008514404,-7.323642730712891
Ours,2.8000000000000003,-1.0,0.0,0.0,5.4109272956848145,-7.314740180969238
Ours,2.82,-1.0,0.0,0.0,5.512062072753906,-5.8320231437683105
Ours,2.84,-1.0,0.0,0.0,5.487875938415527,-2.1157870292663574
Ours,2.86,-1.0,0.0,0.0,5.147058486938477,-5.277950286865234
Ours,2.88,-1.0,0.0,0.0,3.515345335006714,-7.538872241973877
Ours,2.9,-1.0,0.0,0.0,6.367936134338379,-5.389837265014648
Ours,2.92,-1.0,0.0,0.0,6.4264445304870605,-5.028510570526123
Ours,2.94,-1.0,0.0,0.0,4.622184753417969,-3.4782636165618896
Ours,2.96,-1.0,0.0,0.0,6.42788028717041,-5.587069034576416
Ours,2.98,-1.0,0.0,0.0,4.931171417236328,-2.8837132453918457
Ours,3.0,-1.0,0.0,0.0,4.626325607299805,-4.54327917098999
Ours,3.02,-1.0,0.0,0.0,5.639442443847656,-5.352909564971924
Ours,3.04,-1.0,0.0,0.0,5.848160743713379,-3.0810606479644775
Ours,3.06,-1.0,0.0,0.0,4.49503755569458,-7.317475318908691
Ours,3.08,-1.0,0.0,0.0,4.865362644195557,-8.478273391723633
Ours,3.1,-1.0,0.0,0.0,6.579692840576172,-1.776529312133789
Ours,3.12,-1.0,0.0,0.0,6.770416259765625,-2.8249802589416504
Ours,3.14,-1.0,0.0,0.0,3.6442155838012695,-5.618204593658447
Ours,3.16,-1.0,0.0,0.0,5.056417465209961,-4.702504634857178
Ours,3.18,-1.0,0.0,0.0,4.294505596160889,-5.061269760131836
Ours,3.2,-1.0,0.0,0.0,3.3769850730895996,-8.831123352050781
Ours,3.22,-1.0,0.0,0.0,5.2004241943359375,-5.889886856079102
Ours,3.24,-1.0,0.0,0.0,4.490279674530029,-4.9855852127075195
Ours,3.2600000000000002,-1.0,0.0,0.0,5.988949298858643,-6.839345932006836
Ours,3.2800000000000002,-1.0,0.0,0.0,2.7231216430664062,-4.277770042419434
Ours,3.3000000000000003,-1.0,0.0,0.0,4.911727428436279,-7.1497087478637695
Ours,3.3200000000000003,-1.0,0.0,0.0,3.946258544921875,-3.24776029586792
Ours,3.34,-1.0,0.0,0.0,4.696603775024414,-3.8648033142089844
Ours,3.36,-1.0,0.0,0.0,3.7357659339904785,-2.8125624656677246
Ours,3.38,-1.0,0.0,0.0,4.6472978591918945,-8.993515014648438
Ours,3.4,-1.0,0.0,0.0,5.129255294799805,-6.103629112243652
Ours,3.42,-1.0,0.0,0.0,4.658104419708252,-4.384732723236084
Ours,3.44,-1.0,0.0,0.0,5.613316535949707,-4.223677635192871
Ours,3.46,-1.0,0.0,0.0,5.674057960510254,-4.895538806915283
Ours,3.48,-1.0,0.0,0.0,4.658726215362549,-7.397372245788574
Ours,3.5,-1.0,0.0,0.0,5.812851428985596,-3.1852493286132812
Ours,3.52,-1.0,0.0,0.0,3.3637337684631348,-5.029798984527588
Ours,3.54,-1.0,0.0,0.0,4.714674949645996,-6.784896373748779
Ours,3.56,-1.0,0.0,0.0,4.841349124908447,-8.538990020751953
Ours,3.58,-1.0,0.0,0.0,6.055963516235352,-6.9760966300964355
Ours,3.6,-1.0,0.0,0.0,4.969580173492432,-5.643189907073975
Ours,3.62,-1.0,0.0,0.0,4.6191911697387695,-4.27981424331665
Ours,3.64,-1.0,0.0,0.0,4.175141334533691,-4.828380584716797
Ours,3.66,-1.0,0.0,0.0,6.071406364440918,-7.670634746551514
Ours,3.68,-1.0,0.0,0.0,2.541637897491455,-4.743734359741211
Ours,3.7,-1.0,0.0,0.0,7.21156120300293,-7.5848069190979
Ours,3.72,-1.0,0.0,0.0,4.24758768081665,-5.6825385093688965
Ours,3.74,-1.0,0.0,0.0,4.7252020835876465,-5.191430568695068
Ours,3.7600000000000002,-1.0,0.0,0.0,5.094995975494385,-2.584184169769287
Ours,3.7800000000000002,-1.0,0.0,0.0,5.113458156585693,-4.222482204437256
Ours,3.8000000000000003,-1.0,0.0,0.0,4.206099033355713,-4.822717189788818
Ours,3.8200000000000003,-1.0,0.0,0.0,6.0932817459106445,-3.927809238433838
Ours,3.84,-1.0,0.0,0.0,6.972714424133301,-9.136104583740234
Ours,3.86,-1.0,0.0,0.0,6.236383438110352,-5.5894694328308105
Ours,3.88,-1.0,0.0,0.0,5.791896343231201,-8.303504943847656
Ours,3.9,-1.0,0.0,0.0,5.051777362823486,-5.25596284866333
Ours,3.92,-1.0,0.0,0.0,4.308736801147461,-4.182188987731934
Ours,3.94,-1.0,0.0,0.0,3.3992180824279785,-6.810370445251465
Ours,3.96,-1.0,0.0,0.0,5.600414276123047,-6.63682746887207
Ours,3.98,-1.0,0.0,0.0,4.877713203430176,-2.501893997192383
Ours,4.0,-1.0,0.0,0.0,9.388328552246094,-7.609034538269043
Ours,4.0200000000000005,-1.0,0.0,0.0,7.186251640319824,-8.080049514770508
Ours,4.04,-1.0,0.0,0.0,5.833152770996094,-5.107548713684082
Ours,4.0600000000000005,-1.0,0.0,0.0,7.349804878234863,-8.218033790588379
Ours,4.08,-1.0,0.0,0.0,4.104846954345703,-5.154645919799805
Ours,4.1,-1.0,0.0,0.0,2.266986846923828,-2.0410914421081543
Ours,4.12,-1.0,0.0,0.0,5.978948593139648,-6.398329257965088
Ours,4.14,-1.0,0.0,0.0,6.134873867034912,-6.588449001312256
Ours,4.16,-1.0,0.0,0.0,4.204963207244873,-3.8593318462371826
Ours,4.18,-1.0,0.0,0.0,4.464981555938721,-4.319525718688965
Ours,4.2,-1.0,0.0,0.0,4.114135265350342,-3.031547784805298
Ours,4.22,-1.0,0.0,0.0,5.121640682220459,-6.1450300216674805
Ours,4.24,-1.0,0.0,0.0,4.344326496124268,-3.541623592376709
Ours,4.26,-1.0,0.0,0.0,6.324132919311523,-5.655561923980713
Ours,4.28,-1.0,0.0,0.0,5.176203727722168,-8.657474517822266
Ours,4.3,-1.0,0.0,0.0,7.1753129959106445,-6.025485038757324
Ours,4.32,-1.0,0.0,0.0,5.214517593383789,-4.134138584136963
Ours,4.34,-1.0,0.0,0.0,6.296947002410889,-6.297802448272705
Ours,4.36,-1.0,0.0,0.0,6.022749423980713,-3.3165862560272217
Ours,4.38,-1.0,0.0,0.0,5.172035217285156,-5.693454742431641
Ours,4.4,-1.0,0.0,0.0,4.900385856628418,-1.8382606506347656
Ours,4.42,-1.0,0.0,0.0,7.9043426513671875,-7.074801445007324
Ours,4.44,-1.0,0.0,0.0,4.479069709777832,-2.764625072479248
Ours,4.46,-1.0,0.0,0.0,7.479620933532715,-2.8610520362854004
Ours,4.48,-1.0,0.0,0.0,5.494787216186523,-6.160245895385742
Ours,4.5,-1.0,0.0,0.0,5.181370258331299,-5.633213996887207
Ours,4.5200000000000005,-1.0,0.0,0.0,3.314056158065796,-3.432732105255127
Ours,4.54,-1.0,0.0,0.0,6.044210433959961,-6.282831192016602
Ours,4.5600000000000005,-1.0,0.0,0.0,6.134532928466797,-5.9509687423706055
Ours,4.58,-1.0,0.0,0.0,4.250447750091553,-2.538876533508301
Ours,4.6000000000000005,-1.0,0.0,0.0,3.4497151374816895,-7.41865873336792
Ours,4.62,-1.0,0.0,0.0,4.629095077514648,-4.2727952003479
Ours,4.64,-1.0,0.0,0.0,4.158159255981445,-5.027055740356445
Ours,4.66,-1.0,0.0,0.0,4.258369445800781,-7.0831756591796875
Ours,4.68,-1.0,0.0,0.0,4.481284141540527,-4.526179313659668
Ours,4.7,-1.0,0.0,0.0,4.606873512268066,-5.545354843139648
Ours,4.72,-1.0,0.0,0.0,7.513709545135498,-6.777224540710449
Ours,4.74,-1.0,0.0,0.0,5.114937782287598,-5.715305328369141
Ours,4.76,-1.0,0.0,0.0,6.7086920738220215,-6.598106861114502
