model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,1.62,-1.0,0.0,0.0,4.518439769744873,-3.4740238189697266
Ours,1.6400000000000001,-1.0,0.0,0.0,3.596212148666382,-4.098348140716553
Ours,1.6600000000000001,-1.0,0.0,0.0,5.894471168518066,-8.535274505615234
Ours,1.68,-1.0,0.0,0.0,5.312644004821777,-2.6330924034118652
Ours,1.7,-1.0,0.0,0.0,6.896442413330078,-5.685649871826172
Ours,1.72,-1.0,0.0,0.0,3.872197151184082,-3.61598539352417
Ours,1.74,-1.0,0.0,0.0,5.309136390686035,-7.061619281768799
Ours,1.76,-1.0,0.0,0.0,4.370330333709717,-7.9903364181518555
Ours,1.78,-1.0,0.0,0.0,9.01633071899414,-7.627359390258789
Ours,1.8,-1.0,0.0,0.0,4.046618938446045,-2.9304027557373047
Ours,1.82,-1.0,0.0,0.0,4.969597816467285,-8.809562683105469
Ours,1.84,-1.0,0.0,0.0,6.638848304748535,-5.940056800842285
Ours,1.86,-1.0,0.0,0.0,6.494914531707764,-7.891237258911133
Ours,1.8800000000000001,-1.0,0.0,0.0,5.122994899749756,-3.6524276733398438
Ours,1.9000000000000001,-1.0,0.0,0.0,4.916662216186523,-4.669973373413086
Ours,1.92,-1.0,0.0,0.0,7.075797080993652,-6.889322757720947
Ours,1.94,-1.0,0.0,0.0,7.360764026641846,-8.85405445098877
Ours,1.96,-1.0,0.0,0.0,7.010215759277344,-1.957545280456543
Ours,1.98,-1.0,0.0,0.0,4.917362213134766,-4.120062828063965
Ours,2.0,-1.0,0.0,0.0,7.225718975067139,-7.9616217613220215
Ours,2.02,-1.0,0.0,0.0,5.221848011016846,-4.8880462646484375
Ours,2.04,-1.0,0.0,0.0,5.203438758850098,-8.783066749572754
Ours,2.06,-1.0,0.0,0.0,6.961297988891602,-6.159550666809082
Ours,2.08,-1.0,0.0,0.0,4.959987640380859,-6.9689717292785645
Ours,2.1,-1.0,0.0,0.0,8.22542953491211,-6.344168663024902
Ours,2.12,-1.0,0.0,0.0,4.113104820251465,-3.1974310874938965
Ours,2.14,-1.0,0.0,0.0,3.843083143234253,-3.82428240776062
Ours,2.16,-1.0,0.0,0.0,3.9313859939575195,-3.6961517333984375
Ours,2.18,-1.0,0.0,0.0,5.101629257202148,-3.908982753753662
Ours,2.2,-1.0,0.0,0.0,7.254454612731934,-8.883824348449707
Ours,2.22,-1.0,0.0,0.0,4.721558570861816,-1.928318977355957
Ours,2.24,-1.0,0.0,0.0,5.313440799713135,-8.585088729858398
Ours,2.2600000000000002,-1.0,0.0,0.0,4.797284126281738,-6.261471748352051
Ours,2.2800000000000002,-1.0,0.0,0.0,4.652578353881836,-5.218450546264648
Ours,2.3000000000000003,-1.0,0.0,0.0,6.8701653480529785,-9.007320404052734
Ours,2.32,-1.0,0.0,0.0,5.011054515838623,-5.7984619140625
Ours,2.34,-1.0,0.0,0.0,6.806586265563965,-6.00063943862915
Ours,2.36,-1.0,0.0,0.0,6.266988754272461,-5.8557209968566895
Ours,2.38,-1.0,0.0,0.0,4.40016508102417,-2.6908812522888184
Ours,2.4,-1.0,0.0,0.0,7.072394847869873,-6.244359016418457
Ours,2.42,-1.0,0.0,0.0,5.253798484802246,-9.861608505249023
Ours,2.44,-1.0,0.0,0.0,4.408083915710449,-2.3535499572753906
Ours,2.46,-1.0,0.0,0.0,6.630960464477539,-7.614024639129639
Ours,2.48,-1.0,0.0,0.0,5.222377777099609,-7.145838260650635
Ours,2.5,-1.0,0.0,0.0,4.917746067047119,-4.592806816101074
Ours,2.52,-1.0,0.0,0.0,6.797945499420166,-6.756933212280273
Ours,2.54,-1.0,0.0,0.0,5.897326469421387,-4.745544910430908
Ours,2.56,-1.0,0.0,0.0,4.13030481338501,-8.527444839477539
Ours,2.58,-1.0,0.0,0.0,5.857664108276367,-4.261993408203125
Ours,2.6,-1.0,0.0,0.0,5.441796779632568,-5.2329301834106445
Ours,2.62,-1.0,0.0,0.0,5.07803201675415,-5.8961567878723145
Ours,2.64,-1.0,0.0,0.0,5.587195873260498,-5.48039436340332
Ours,2.66,-1.0,0.0,0.0,8.73426628112793,-8.485753059387207
Ours,2.68,-1.0,0.0,0.0,3.4792511463165283,-5.514840602874756
Ours,2.7,-1.0,0.0,0.0,2.221022367477417,-2.549342393875122
Ours,2.72,-1.0,0.0,0.0,3.362874746322632,-5.55573034286499
Ours,2.74,-1.0,0.0,0.0,5.970893383026123,-8.183877944946289
Ours,2.7600000000000002,-1.0,0.0,0.0,4.865379333496094,-3.7305123805999756
Ours,2.7800000000000002,-1.0,0.0,0.0,4.3145575523376465,-4.53428316116333
Ours,2.8000000000000003,-1.0,0.0,0.0,4.416040420532227,-3.856633424758911
Ours,2.82,-1.0,0.0,0.0,3.2169625759124756,-2.097743034362793
Ours,2.84,-1.0,0.0,0.0,4.421203136444092,-6.974661827087402
Ours,2.86,-1.0,0.0,0.0,7.0529398918151855,-5.071944713592529
Ours,2.88,-1.0,0.0,0.0,4.02705717086792,-2.997133731842041
Ours,2.9,-1.0,0.0,0.0,4.783620834350586,-5.529900550842285
Ours,2.92,-1.0,0.0,0.0,5.410603046417236,-6.685174465179443
Ours,2.94,-1.0,0.0,0.0,3.8789403438568115,-4.505025863647461
Ours,2.96,-1.0,0.0,0.0,3.7516028881073,-4.381745338439941
Ours,2.98,-1.0,0.0,0.0,4.8884968757629395,-7.715348720550537
Ours,3.0,-1.0,0.0,0.0,3.6316027641296387,-3.066314697265625
Ours,3.02,-1.0,0.0,0.0,5.007072448730469,-5.03450870513916
Ours,3.04,-1.0,0.0,0.0,4.864482402801514,-5.818942070007324
Ours,3.06,-1.0,0.0,0.0,5.070047378540039,-4.232346534729004
Ours,3.08,-1.0,0.0,0.0,4.5320820808410645,-5.14697265625
Ours,3.1,-1.0,0.0,0.0,6.735964775085449,-8.146431922912598
Ours,3.12,-1.0,0.0,0.0,4.512936592102051,-2.7980422973632812
Ours,3.14,-1.0,0.0,0.0,6.279998302459717,-3.6506667137145996
Ours,3.16,-1.0,0.0,0.0,8.072891235351562,-6.45184326171875
Ours,3.18,-1.0,0.0,0.0,6.29689884185791,-5.334249973297119
Ours,3.2,-1.0,0.0,0.0,6.428237438201904,-3.0082736015319824
Ours,3.22,-1.0,0.0,0.0,6.315556526184082,-8.458499908447266
Ours,3.24,-1.0,0.0,0.0,5.329532146453857,-4.981095314025879
Ours,3.2600000000000002,-1.0,0.0,0.0,4.948193550109863,-6.164690971374512
Ours,3.2800000000000002,-1.0,0.0,0.0,4.681719779968262,-4.092259883880615
Ours,3.3000000000000003,-1.0,0.0,0.0,6.177202224731445,-8.423300743103027
Ours,3.3200000000000003,-1.0,0.0,0.0,5.345187187194824,-6.241483688354492
Ours,3.34,-1.0,0.0,0.0,5.674189567565918,-7.525412559509277
Ours,3.36,-1.0,0.0,0.0,6.128204345703125,-5.396848678588867
Ours,3.38,-1.0,0.0,0.0,5.243241310119629,-5.061163902282715
Ours,3.4,-1.0,0.0,0.0,4.162079811096191,-6.193408012390137
Ours,3.42,-1.0,0.0,0.0,3.6967008113861084,-3.5845682621002197
Ours,3.44,-1.0,0.0,0.0,3.8334741592407227,-6.319403171539307
Ours,3.46,-1.0,0.0,0.0,6.868124485015869,-6.055566787719727
Ours,3.48,-1.0,0.0,0.0,4.02683687210083,-4.886168479919434
Ours,3.5,-1.0,0.0,0.0,4.295279502868652,-8.117546081542969
Ours,3.52,-1.0,0.0,0.0,3.2904961109161377,-5.55389404296875
Ours,3.54,-1.0,0.0,0.0,4.551908493041992,-5.186424732208252
Ours,3.56,-1.0,0.0,0.0,4.9225873947143555,-4.251709938049316
