model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,7.0200000000000005,-1.0,0.0,0.0,4.727755546569824,-6.341739654541016
Ours,7.04,-1.0,0.0,0.0,4.54253625869751,-4.752334117889404
Ours,7.0600000000000005,-1.0,0.0,0.0,6.031763076782227,-6.500885963439941
Ours,7.08,-1.0,0.0,0.0,4.927718162536621,-4.199067115783691
Ours,7.1000000000000005,-1.0,0.0,0.0,6.126651287078857,-1.6110320091247559
Ours,7.12,-1.0,0.0,0.0,5.489078998565674,-3.2866315841674805
Ours,7.140000000000001,-1.0,0.0,0.0,6.787461280822754,-5.887180805206299
Ours,7.16,-1.0,0.0,0.0,4.298843860626221,-2.3526670932769775
Ours,7.18,-1.0,0.0,0.0,6.312009811401367,-7.538247585296631
Ours,7.2,-1.0,0.0,0.0,5.676516056060791,-4.550172805786133
Ours,7.22,-1.0,0.0,0.0,7.294198036193848,-8.249588966369629
Ours,7.24,-1.0,0.0,0.0,3.9349825382232666,-8.684643745422363
Ours,7.26,-1.0,0.0,0.0,3.853776454925537,-4.148528099060059
Ours,7.28,-1.0,0.0,0.0,3.900135040283203,-5.343095779418945
Ours,7.3,-1.0,0.0,0.0,4.974489212036133,-6.41559362411499
Ours,7.32,-1.0,0.0,0.0,4.215196132659912,-4.009901523590088
Ours,7.34,-1.0,0.0,0.0,6.331523895263672,-5.920129299163818
Ours,7.36,-1.0,0.0,0.0,3.8318381309509277,-3.1465864181518555
Ours,7.38,-1.0,0.0,0.0,5.406126499176025,-7.063982963562012
Ours,7.4,-1.0,0.0,0.0,6.866842269897461,-4.758626937866211
Ours,7.42,-1.0,0.0,0.0,5.338465690612793,-4.859041690826416
Ours,7.44,-1.0,0.0,0.0,3.6036412715911865,-5.446669578552246
Ours,7.46,-1.0,0.0,0.0,5.198808670043945,-7.823930740356445
Ours,7.48,-1.0,0.0,0.0,4.776791572570801,-4.478621482849121
Ours,7.5,-1.0,0.0,0.0,5.549248695373535,-6.47269344329834
Ours,7.5200000000000005,-1.0,0.0,0.0,5.373161315917969,-6.217214107513428
Ours,7.54,-1.0,0.0,0.0,4.800535202026367,-6.5882744789123535
Ours,7.5600000000000005,-1.0,0.0,0.0,5.30057954788208,-6.357681751251221
Ours,7.58,-1.0,0.0,1.0,5.733798027038574,-7.2403082847595215
