command_vy,command_wz,mean_vy_actual,mean_wz_actual,rmse_vy,rmse_wz,steady_err_vy,steady_err_wz,peak_err_vy,peak_err_wz
-1.0,-1.0,-0.7520377039909363,-1.1204410791397095,0.24955344200134277,0.6864097714424133,-0.2416861206293106,0.13470818102359772,0.33103203773498535,1.7095129489898682
-1.0,0.0,-0.61073237657547,-0.2744830548763275,0.3937543034553528,0.6151456832885742,-0.4202369749546051,0.3872392773628235,0.5910958051681519,1.818185567855835
-1.0,1.0,-0.46625766158103943,0.4749194383621216,0.5346953272819519,0.6970388889312744,-0.5321452021598816,0.4476763904094696,0.6084796190261841,2.031698703765869
-0.5,-1.0,-0.6173194050788879,-0.8395008444786072,0.135873943567276,0.49843862652778625,0.07358157634735107,-0.14908379316329956,0.286312997341156,1.3640426397323608
-0.5,0.0,-0.39926058053970337,-0.04793281853199005,0.10330497473478317,0.2839258015155792,-0.10434313863515854,0.02035355009138584,0.15274578332901,0.7856208086013794
-0.5,1.0,-0.2966863512992859,0.8203646540641785,0.20478592813014984,0.40740206837654114,-0.19361931085586548,0.23049813508987427,0.24661388993263245,1.2431666851043701
0.0,-1.0,-0.05178426206111908,-0.5861986875534058,0.06451813131570816,0.4672469198703766,0.041784774512052536,-0.40120524168014526,0.11647205054759979,0.9884772896766663
0.0,0.0,0.051810551434755325,0.025785459205508232,0.0830659568309784,0.13672566413879395,-0.09012021124362946,-0.02469751425087452,0.2661610543727875,0.6601006984710693
0.0,1.0,0.10848290473222733,0.8513713479042053,0.11415785551071167,0.2916337847709656,-0.11516744643449783,0.10407023131847382,0.21040186285972595,0.887260377407074
0.5,-1.0,0.24597273766994476,-0.865162193775177,0.2552846670150757,0.23953916132450104,0.2660115659236908,-0.13354790210723877,0.33338379859924316,0.6315139532089233
0.5,0.0,0.25862470269203186,-0.10005180537700653,0.24170629680156708,0.19105464220046997,0.2392074018716812,0.11004158109426498,0.28215891122817993,0.5445432066917419
0.5,1.0,0.27769356966018677,0.9185858368873596,0.2230793684720993,0.23533907532691956,0.226186141371727,0.05711469054222107,0.28138577938079834,0.6911935210227966
1.0,-1.0,0.2761053740978241,-0.7687835097312927,0.7240052819252014,0.3112841248512268,0.7215585112571716,-0.259538471698761,0.7604095339775085,0.9681555032730103
1.0,0.0,0.2350686490535736,-0.020132362842559814,0.7659674286842346,0.1618792563676834,0.7786530256271362,-0.01894383132457733,0.9114326238632202,0.49070364236831665
1.0,1.0,0.2798653244972229,1.025758147239685,0.7202097177505493,0.18801841139793396,0.722705066204071,-0.0186300128698349,0.7469274997711182,0.5084332227706909
