model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,1.62,-1.0,0.0,0.0,3.312891960144043,-5.188326835632324
Ours,1.6400000000000001,-1.0,0.0,0.0,4.519789218902588,-4.3629584312438965
Ours,1.6600000000000001,-1.0,0.0,0.0,5.408900260925293,-5.952276706695557
Ours,1.68,-1.0,0.0,0.0,6.161794662475586,-7.8841471672058105
Ours,1.7,-1.0,0.0,0.0,7.539695739746094,-4.668493270874023
Ours,1.72,-1.0,0.0,0.0,5.717114448547363,-5.74492073059082
Ours,1.74,-1.0,0.0,0.0,8.61526107788086,-9.047733306884766
Ours,1.76,-1.0,0.0,0.0,6.328791618347168,-6.080709457397461
Ours,1.78,-1.0,0.0,0.0,6.08424186706543,-7.202610015869141
Ours,1.8,-1.0,0.0,0.0,4.045103073120117,-1.81085205078125
Ours,1.82,-1.0,0.0,0.0,7.015025615692139,-7.488134384155273
Ours,1.84,-1.0,0.0,0.0,5.696657180786133,-5.701316833496094
Ours,1.86,-1.0,0.0,0.0,4.544362545013428,-3.5987677574157715
Ours,1.8800000000000001,-1.0,0.0,0.0,3.1945464611053467,-3.524513006210327
Ours,1.9000000000000001,-1.0,0.0,0.0,6.075510025024414,-7.530290603637695
Ours,1.92,-1.0,0.0,0.0,4.307660102844238,-6.288128852844238
Ours,1.94,-1.0,0.0,0.0,5.153491973876953,-6.783088684082031
Ours,1.96,-1.0,0.0,0.0,4.199636936187744,-3.9920599460601807
Ours,1.98,-1.0,0.0,0.0,9.53571605682373,-8.569979667663574
Ours,2.0,-1.0,0.0,0.0,5.942181587219238,-5.986440658569336
Ours,2.02,-1.0,0.0,0.0,4.598876476287842,-6.598467826843262
Ours,2.04,-1.0,0.0,0.0,7.8665452003479,-5.977231502532959
Ours,2.06,-1.0,0.0,0.0,5.037428855895996,-4.114912986755371
Ours,2.08,-1.0,0.0,0.0,4.864845275878906,-3.08573055267334
Ours,2.1,-1.0,0.0,0.0,9.198760986328125,-7.240797996520996
Ours,2.12,-1.0,0.0,0.0,5.575711727142334,-7.618969917297363
Ours,2.14,-1.0,0.0,0.0,6.990660190582275,-7.110840797424316
Ours,2.16,-1.0,0.0,0.0,4.489973545074463,-3.497415781021118
Ours,2.18,-1.0,0.0,0.0,3.3544092178344727,-4.709755897521973
Ours,2.2,-1.0,0.0,0.0,4.720944404602051,-5.386152267456055
Ours,2.22,-1.0,0.0,0.0,4.923264980316162,-4.813004493713379
Ours,2.24,-1.0,0.0,0.0,5.736091136932373,-5.684666156768799
Ours,2.2600000000000002,-1.0,0.0,0.0,3.9302806854248047,-4.463505744934082
Ours,2.2800000000000002,-1.0,0.0,0.0,4.622725009918213,-4.894418239593506
Ours,2.3000000000000003,-1.0,0.0,0.0,2.6146435737609863,-5.986125946044922
Ours,2.32,-1.0,0.0,0.0,4.724493026733398,-5.2609405517578125
Ours,2.34,-1.0,0.0,0.0,4.508847713470459,-6.465829849243164
Ours,2.36,-1.0,0.0,0.0,4.857517719268799,-3.9405508041381836
Ours,2.38,-1.0,0.0,0.0,5.161876201629639,-2.325056552886963
Ours,2.4,-1.0,0.0,0.0,5.384106159210205,-6.830076217651367
Ours,2.42,-1.0,0.0,0.0,4.515377044677734,-9.579172134399414
Ours,2.44,-1.0,0.0,0.0,2.6143717765808105,-1.721078872680664
Ours,2.46,-1.0,0.0,0.0,4.421470642089844,-8.026141166687012
Ours,2.48,-1.0,0.0,0.0,5.170243740081787,-6.5111284255981445
Ours,2.5,-1.0,0.0,0.0,4.721436500549316,-7.000689506530762
Ours,2.52,-1.0,0.0,0.0,4.201023578643799,-2.699207305908203
Ours,2.54,-1.0,0.0,0.0,6.733112335205078,-7.322290420532227
Ours,2.56,-1.0,0.0,0.0,4.867354869842529,-2.9157156944274902
Ours,2.58,-1.0,0.0,0.0,3.7086334228515625,-4.064187526702881
Ours,2.6,-1.0,0.0,0.0,5.084033012390137,-5.629097938537598
Ours,2.62,-1.0,0.0,0.0,4.285015106201172,-4.076799392700195
Ours,2.64,-1.0,0.0,0.0,5.610287666320801,-6.405755996704102
Ours,2.66,-1.0,0.0,0.0,4.366438388824463,-5.236414432525635
Ours,2.68,-1.0,0.0,0.0,2.860508918762207,-2.7560343742370605
Ours,2.7,-1.0,0.0,0.0,3.9091875553131104,-3.0104355812072754
Ours,2.72,-1.0,0.0,0.0,3.7542591094970703,-4.619558811187744
Ours,2.74,-1.0,0.0,0.0,4.685041904449463,-6.03817081451416
Ours,2.7600000000000002,-1.0,0.0,0.0,5.306484222412109,-6.258315086364746
Ours,2.7800000000000002,-1.0,0.0,0.0,5.322411060333252,-5.731082439422607
Ours,2.8000000000000003,-1.0,0.0,0.0,6.199053764343262,-8.233488082885742
Ours,2.82,-1.0,0.0,0.0,3.4442524909973145,-7.526508331298828
Ours,2.84,-1.0,0.0,0.0,4.062036991119385,-4.374075412750244
Ours,2.86,-1.0,0.0,0.0,4.2991862297058105,-5.685764312744141
Ours,2.88,-1.0,0.0,0.0,6.999580383300781,-5.035669326782227
Ours,2.9,-1.0,0.0,0.0,5.332103729248047,-5.499875068664551
Ours,2.92,-1.0,0.0,0.0,5.525137424468994,-6.193017959594727
Ours,2.94,-1.0,0.0,0.0,4.992273807525635,-9.139596939086914
