command_vy,command_wz,mean_vy_actual,mean_wz_actual,rmse_vy,rmse_wz,steady_err_vy,steady_err_wz,peak_err_vy,peak_err_wz
-1.0,-1.0,-0.7537738680839539,-0.9759808778762817,0.24804751574993134,0.6167594790458679,-0.24769896268844604,0.026878666132688522,0.32646244764328003,1.9153059720993042
-1.0,0.0,-0.6194667816162109,-0.1339341700077057,0.39208710193634033,0.5199490189552307,-0.4361974000930786,0.08879035711288452,0.669090747833252,1.8850722312927246
-1.0,1.0,-0.44995397329330444,0.5149953961372375,0.5513139963150024,0.6548601388931274,-0.5410951375961304,0.49174800515174866,0.642930805683136,1.6207467317581177
-0.5,-1.0,-0.621211051940918,-0.7723015546798706,0.1356278359889984,0.5309796333312988,0.10466590523719788,-0.1807323694229126,0.24848788976669312,1.2604750394821167
-0.5,0.0,-0.3551570773124695,0.0451483316719532,0.1461990922689438,0.2690078020095825,-0.1460578292608261,-0.047485653311014175,0.1815156638622284,0.8747003078460693
-0.5,1.0,-0.2994525730609894,0.8829004168510437,0.2016153633594513,0.37951359152793884,-0.20397281646728516,0.031647201627492905,0.25553688406944275,1.0548901557922363
0.0,-1.0,-0.004531520418822765,-0.6563748121261597,0.04392894729971886,0.41008415818214417,-0.004674348048865795,-0.3159479796886444,0.19357481598854065,0.8236191868782043
0.0,0.0,0.022335639223456383,0.03752885013818741,0.07156512886285782,0.12877388298511505,-0.04999268054962158,-0.055694352835416794,0.23266953229904175,0.5599786639213562
0.0,1.0,0.09748419374227524,0.908989667892456,0.10350647568702698,0.2775328457355499,-0.11316289752721786,0.10384611040353775,0.21029254794120789,0.6983848810195923
0.5,-1.0,0.2392863929271698,-0.9645475745201111,0.2632211148738861,0.20723681151866913,0.2764189839363098,-0.03617170825600624,0.40632617473602295,0.5953437089920044
0.5,0.0,0.2060062736272812,-0.08871258795261383,0.2940707802772522,0.16082744300365448,0.2961115539073944,0.07257124781608582,0.307916522026062,0.4953920543193817
0.5,1.0,0.24152053892612457,1.0098087787628174,0.266600638628006,0.26455411314964294,0.2880023121833801,0.018430208787322044,0.4461059272289276,0.8306741714477539
1.0,-1.0,0.3071891665458679,-0.746161162853241,0.6928922533988953,0.3229024410247803,0.6915133595466614,-0.29038259387016296,0.7300022840499878,0.7324774265289307
1.0,0.0,0.2421882301568985,0.007254838477820158,0.758115291595459,0.18032941222190857,0.7657240033149719,-0.06649269908666611,0.8408071994781494,0.6002869606018066
1.0,1.0,0.2851545214653015,1.0153673887252808,0.7149622440338135,0.2501751482486725,0.7182378172874451,-0.011498603038489819,0.7496185898780823,0.7082967758178711
