time_s,pitch_rad,pitch_deg,pitch_rate_rad_s,command_vy,command_wz,impulse_torque_pitch,torque_ankle_L_joint,torque_ankle_R_joint
0.0,0.015416387468576431,0.8832939267158508,0.06079958379268646,0.0,0.0,0.0,0.08235988020896912,-0.10861656069755554
0.02,0.015607410110533237,0.8942387104034424,0.006398415192961693,0.0,0.0,0.0,0.1980697214603424,-0.04785993695259094
0.04,0.01557173766195774,0.8921948671340942,-0.007750341668725014,0.0,0.0,0.0,-0.19629907608032227,-0.03759940341114998
0.06,0.01607266068458557,0.9208956360816956,0.04949640482664108,0.0,0.0,0.0,0.10731737315654755,0.1228354275226593
0.08,0.016895338892936707,0.968031644821167,-0.006330534815788269,0.0,0.0,0.0,-0.27820414304733276,0.24046590924263
0.1,0.017371047288179398,0.9952877163887024,-0.008560717105865479,0.0,0.0,0.0,-0.24298134446144104,0.19341179728507996
0.12,0.017141569405794144,0.9821395874023438,-0.009371407330036163,0.0,0.0,0.0,0.12446176260709763,-0.06849241256713867
0.14,0.01712733320891857,0.9813238978385925,-0.015108630061149597,0.0,0.0,0.0,0.2035374939441681,-0.0655364915728569
0.16,0.016050975769758224,0.9196531772613525,-0.0700068473815918,0.0,0.0,0.0,0.19578143954277039,-0.13011738657951355
0.18,0.015725931152701378,0.9010294675827026,0.006740257143974304,0.0,0.0,0.0,0.1511838138103485,0.06371910125017166
0.2,0.016173213720321655,0.9266569018363953,0.038325682282447815,0.0,0.0,0.0,0.14521239697933197,0.017198894172906876
0.22,0.016530176624655724,0.9471093416213989,-0.02351248636841774,0.0,0.0,0.0,-0.09881488233804703,0.1295831948518753
0.24,0.01669175922870636,0.9563673734664917,-0.019067764282226562,0.0,0.0,0.0,-0.020592033863067627,0.12319236993789673
0.26,0.01676185429096222,0.9603835344314575,0.013183355331420898,0.0,0.0,0.0,0.09758871793746948,-0.020671159029006958
0.28,0.0165170319378376,0.9463562369346619,-0.003966405987739563,0.0,0.0,0.0,0.21670544147491455,-0.09423133730888367
0.3,0.01496214047074318,0.8572674989700317,-0.06366019695997238,0.0,0.0,0.0,0.22769320011138916,-0.184502974152565
0.32,0.014985541813075542,0.8586083054542542,-0.019611351191997528,0.0,0.0,0.0,0.19300363957881927,-0.15496337413787842
0.34,0.015008012764155865,0.8598958253860474,0.0002590278163552284,0.0,0.0,0.0,-0.25047340989112854,0.1109960675239563
0.36,0.015648750588297844,0.8966073989868164,0.012910321354866028,0.0,0.0,0.0,-0.23726236820220947,0.26218122243881226
0.38,0.015838347375392914,0.9074704647064209,0.02007479965686798,0.0,0.0,0.0,0.0364113450050354,-0.03876092657446861
0.4,0.015502306632697582,0.8882167339324951,-0.012265875935554504,0.0,0.0,0.0,0.268300324678421,-0.17540517449378967
0.42,0.014566261321306229,0.8345853090286255,-0.05346307158470154,0.0,0.0,0.0,0.21473759412765503,-0.13501261174678802
0.44,0.014149256981909275,0.8106927275657654,0.002461262047290802,0.0,0.0,0.0,0.23344865441322327,-0.1588834524154663
0.46,0.014521864242851734,0.8320415616035461,-0.010530136525630951,0.0,0.0,0.0,0.002313278615474701,0.08766144514083862
0.48,0.015635916963219643,0.8958720564842224,0.035709232091903687,0.0,0.0,0.0,-0.008908577263355255,0.038824379444122314
0.5,0.016366278752684593,0.9377186894416809,-0.0015198886394500732,0.0,0.0,0.0,-0.07307060062885284,-0.11998686194419861
0.52,0.01675567775964737,0.9600296020507812,0.028993304818868637,0.0,0.0,0.0,-0.002386145293712616,-0.1394764482975006
0.54,0.016253864392638206,0.931277871131897,-0.007459641434252262,0.0,0.0,0.0,-0.0613296777009964,0.14020252227783203
0.56,0.015570102259516716,0.8921011686325073,-0.016219206154346466,0.0,0.0,0.0,0.08547626435756683,0.08792059123516083
0.58,0.015244590118527412,0.8734506964683533,-0.014131560921669006,0.0,0.0,0.0,0.08477646112442017,0.02983236312866211
0.6,0.015309200622141361,0.8771526217460632,0.0064450278878211975,0.0,0.0,0.0,0.24933187663555145,0.044100359082221985
0.62,0.015992946922779083,0.9163283705711365,-0.023901328444480896,0.0,0.0,0.0,0.011410549283027649,0.01493481919169426
0.64,0.016498969867825508,0.9453213214874268,-0.043136563152074814,0.0,0.0,0.0,0.039359934628009796,0.002770017832517624
0.66,0.01618032716214657,0.9270644783973694,-0.008569404482841492,0.0,0.0,0.0,0.15147627890110016,0.13155187666416168
0.68,0.015992315486073494,0.9162921905517578,0.007709860801696777,0.0,0.0,0.0,0.15900568664073944,-0.19276756048202515
0.7000000000000001,0.015499697998166084,0.8880673050880432,0.01026374101638794,0.0,0.0,0.0,0.05419719219207764,-0.11260854452848434
0.72,0.01546623557806015,0.886150062084198,-0.021235235035419464,0.0,0.0,0.0,0.010208912193775177,0.1107737198472023
0.74,0.014922559261322021,0.8549996614456177,-0.026544447988271713,0.0,0.0,0.0,-0.13736899197101593,0.16691717505455017
0.76,0.015393729321658611,0.8819957375526428,0.002213388681411743,0.0,0.0,0.0,-0.1933402121067047,0.25275006890296936
0.78,0.015059622935950756,0.8628528714179993,0.019204020500183105,0.0,0.0,0.0,0.10704751312732697,0.11482994258403778
0.8,0.014665307477116585,0.8402602076530457,-0.02255217730998993,0.0,0.0,0.0,0.1424499750137329,-0.04203121364116669
0.8200000000000001,0.014632427133619785,0.8383763432502747,-0.00105324387550354,0.0,0.0,0.0,0.21115337312221527,-0.030091598629951477
0.84,0.01455756090581417,0.8340868353843689,-0.013897344470024109,0.0,0.0,0.0,0.2176976501941681,-0.059828802943229675
0.86,0.015162468887865543,0.8687455058097839,0.03483714163303375,0.0,0.0,0.0,0.12697651982307434,-0.21770459413528442
0.88,0.01453793328255415,0.8329622149467468,-0.05532703548669815,0.0,0.0,0.0,0.0737776830792427,-0.05707575008273125
0.9,0.014517921023070812,0.8318156003952026,-0.0038606319576501846,0.0,0.0,0.0,-0.2359330654144287,0.21840737760066986
0.92,0.015380475670099258,0.8812363743782043,0.018586071208119392,0.0,0.0,0.0,-0.3588050603866577,0.33049699664115906
0.9400000000000001,0.01594514399766922,0.9135894775390625,-0.0068633053451776505,0.0,0.0,0.0,-0.2052069455385208,0.250491201877594
0.96,0.015480231493711472,0.8869519233703613,-0.03635653853416443,0.0,0.0,0.0,0.09905978292226791,-0.05518915504217148
0.98,0.01271289773285389,0.728395402431488,-0.11607173085212708,0.0,0.0,0.0,0.32354146242141724,-0.22929143905639648
1.0,0.012544432654976845,0.7187430262565613,0.008981660008430481,0.0,0.0,0.0,0.18903093039989471,-0.14022301137447357
1.02,0.013367068022489548,0.7658765912055969,0.025134466588497162,0.0,0.0,0.0,0.03211726248264313,-0.1370047926902771
1.04,0.013582425191998482,0.7782156467437744,-0.013352170586585999,0.0,0.0,0.0,0.014040783978998661,-0.023378927260637283
1.06,0.013573845848441124,0.7777240872383118,0.002383813261985779,0.0,0.0,0.0,0.040027957409620285,0.0007295198738574982
1.08,0.01365349255502224,0.7822874784469604,-0.008035644888877869,0.0,0.0,0.0,0.10538013279438019,-0.008852154016494751
1.1,0.013934926129877567,0.7984124422073364,-0.007302120327949524,0.0,0.0,0.0,0.1711633801460266,0.09260769188404083
1.12,0.01393077615648508,0.7981746792793274,0.0038816891610622406,0.0,0.0,0.0,0.05630830302834511,0.07382120937108994
1.1400000000000001,0.013346618041396141,0.7647048830986023,-0.025710470974445343,0.0,0.0,0.0,0.11132283508777618,0.17501981556415558
1.16,0.012364507652819157,0.7084341049194336,-0.035882651805877686,0.0,0.0,0.0,0.08862588554620743,0.08765849471092224
