model_name,shift_set,trial_idx,command_vy,command_wz,survived,survival_steps,survival_time_s,termination_reason,rmse_vy,rmse_wz,mean_abs_pitch_deg,max_abs_pitch_deg,mean_abs_roll_deg,max_abs_roll_deg
flatv1,nominal,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14498980343341827,0.43345609307289124,0.6807923913002014,1.8679165840148926,5.603493690490723,7.9504923820495605
flatv1,nominal,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.16112586855888367,0.5412877202033997,0.6748257279396057,2.0611531734466553,5.451165676116943,8.01062297821045
flatv1,nominal,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14563186466693878,0.49175432324409485,0.6742196679115295,2.676452159881592,5.538879871368408,8.23326587677002
flatv1,nominal,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13207508623600006,0.3865134119987488,0.6531736850738525,1.900624394416809,5.811347484588623,7.698990821838379
flatv1,nominal,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.155427947640419,0.4152696132659912,0.7945545315742493,2.280078649520874,5.404656410217285,8.097825050354004
flatv1,nominal,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14392800629138947,0.5021984577178955,0.7668304443359375,1.9807546138763428,5.517291069030762,8.036417961120605
flatv1,nominal,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14568926393985748,0.4674815833568573,0.9672667980194092,1.9382318258285522,5.492774486541748,7.992789268493652
flatv1,nominal,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.1390942633152008,0.4388686418533325,0.8630821704864502,1.8801603317260742,5.717076301574707,8.171525955200195
flatv1,nominal,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.1425098478794098,0.47821617126464844,0.791867196559906,2.092616319656372,5.640247821807861,7.426473140716553
flatv1,nominal,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14562729001045227,0.475192666053772,0.7390848398208618,1.9473515748977661,5.513362407684326,7.794875144958496
flatv1,mass_plus,0.0,-0.6,0.0,0.0,57.0,1.1400000000000001,joint_vel_limit,0.2816157042980194,0.6295403242111206,4.0645318031311035,8.598921775817871,0.9752584099769592,4.752782344818115
flatv1,mass_plus,1.0,-0.6,0.0,0.0,12.0,0.24,joint_vel_limit,0.17372941970825195,0.6265517473220825,2.0666840076446533,2.8372576236724854,0.8927242159843445,3.411766290664673
flatv1,mass_plus,2.0,-0.6,0.0,0.0,28.0,0.56,joint_vel_limit,0.11770527809858322,0.6030223369598389,1.7798612117767334,3.129718780517578,1.041614294052124,3.3406403064727783
flatv1,mass_plus,3.0,-0.6,0.0,0.0,43.0,0.86,joint_vel_limit,0.10293467342853546,3.4004249572753906,2.88226318359375,11.192455291748047,0.908319354057312,2.972322463989258
flatv1,mass_plus,4.0,-0.6,0.0,0.0,37.0,0.74,joint_vel_limit,0.11356043070554733,0.5668854713439941,2.003952741622925,3.9355525970458984,1.3229219913482666,4.810618877410889
flatv1,mass_plus,5.0,-0.6,0.0,0.0,9.0,0.18,joint_vel_limit,0.2007429003715515,0.532141923904419,1.2091574668884277,2.6024906635284424,1.372016191482544,2.927006244659424
flatv1,mass_plus,6.0,-0.6,0.0,0.0,17.0,0.34,joint_vel_limit,0.15397372841835022,0.6039597988128662,1.7266809940338135,3.945927143096924,1.3050715923309326,3.5291025638580322
flatv1,mass_plus,7.0,-0.6,0.0,0.0,48.0,0.96,joint_vel_limit,0.09352533519268036,1.1005079746246338,1.4418329000473022,3.170809030532837,1.2473622560501099,5.9471330642700195
flatv1,mass_plus,8.0,-0.6,0.0,0.0,11.0,0.22,joint_vel_limit,0.18219180405139923,0.8239312767982483,1.4706183671951294,2.286480188369751,1.079071283340454,3.75126576423645
flatv1,mass_plus,9.0,-0.6,0.0,0.0,25.0,0.5,joint_vel_limit,0.1282016783952713,1.2117602825164795,1.782080888748169,3.3093037605285645,1.2285423278808594,3.024040699005127
flatv1,low_friction,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14354193210601807,0.39907553791999817,0.4942896366119385,1.694739818572998,4.910238265991211,7.527693271636963
flatv1,low_friction,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13986578583717346,0.4326598644256592,0.6683464646339417,2.185234308242798,4.916315078735352,7.605600357055664
flatv1,low_friction,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13409055769443512,0.4235517978668213,0.4986560344696045,1.6455285549163818,4.99951171875,7.043008804321289
flatv1,low_friction,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.12487486004829407,0.3640579581260681,0.47793591022491455,1.441506266593933,5.07225227355957,6.936980724334717
flatv1,low_friction,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.11802569031715393,0.4611877202987671,0.5391157865524292,1.3359622955322266,4.947474479675293,7.478817462921143
flatv1,low_friction,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13720621168613434,0.39142799377441406,0.35833975672721863,1.0745172500610352,5.153067111968994,7.225724697113037
flatv1,low_friction,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.10823322832584381,0.40422365069389343,0.4139793813228607,1.4555913209915161,5.213735580444336,8.120842933654785
flatv1,low_friction,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.12975668907165527,0.4353644549846649,0.6199628710746765,1.8916313648223877,5.1145477294921875,7.564784526824951
flatv1,low_friction,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13305890560150146,0.34466761350631714,0.47050631046295166,1.4493613243103027,5.081469535827637,7.852496147155762
flatv1,low_friction,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.11501547694206238,0.34482213854789734,0.3917049169540405,1.7619515657424927,5.155354022979736,7.161644458770752
flatv1,actuator_weak,0.0,-0.6,0.0,0.0,29.0,0.58,joint_vel_limit,0.4138743579387665,1.5025649070739746,4.717080116271973,7.33500862121582,2.895049571990967,6.169375419616699
flatv1,actuator_weak,1.0,-0.6,0.0,0.0,18.0,0.36,joint_vel_limit,0.36518630385398865,0.5991244316101074,5.610838413238525,7.339540481567383,2.9794540405273438,4.72611141204834
flatv1,actuator_weak,2.0,-0.6,0.0,0.0,8.0,0.16,joint_vel_limit,0.3405243158340454,0.23250584304332733,6.872903347015381,8.182239532470703,3.50947904586792,5.335544586181641
flatv1,actuator_weak,3.0,-0.6,0.0,0.0,20.0,0.4,joint_vel_limit,0.3631078898906708,0.7079185247421265,6.802197456359863,8.892962455749512,3.271549940109253,5.5094218254089355
flatv1,actuator_weak,4.0,-0.6,0.0,0.0,2.0,0.04,joint_vel_limit,0.43888598680496216,1.1000657081604004,4.456340789794922,5.603377819061279,2.9316086769104004,5.435824871063232
flatv1,actuator_weak,5.0,-0.6,0.0,0.0,5.0,0.1,joint_vel_limit,0.3367393910884857,0.3680489659309387,5.323657512664795,6.264594554901123,4.330130577087402,4.8868865966796875
flatv1,actuator_weak,6.0,-0.6,0.0,0.0,21.0,0.42,joint_vel_limit,0.30166226625442505,1.5670280456542969,6.006443500518799,7.446660995483398,2.344189167022705,5.084149360656738
flatv1,actuator_weak,7.0,-0.6,0.0,0.0,13.0,0.26,joint_vel_limit,0.3827268183231354,0.3599664270877838,3.6937334537506104,5.7190141677856445,3.740619421005249,7.126844882965088
flatv1,actuator_weak,8.0,-0.6,0.0,0.0,4.0,0.08,joint_vel_limit,0.30766814947128296,3.8562631607055664,2.510371446609497,3.7892844676971436,6.935485363006592,10.94682788848877
flatv1,actuator_weak,9.0,-0.6,0.0,0.0,22.0,0.44,joint_vel_limit,0.37784236669540405,0.31011372804641724,7.2476420402526855,9.627925872802734,2.4611217975616455,4.170492649078369
