model_name,shift_set,trial_idx,command_vy,command_wz,survived,survival_steps,survival_time_s,termination_reason,rmse_vy,rmse_wz,mean_abs_pitch_deg,max_abs_pitch_deg,mean_abs_roll_deg,max_abs_roll_deg
nodr,nominal,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0275218915194273,0.4397153854370117,4.627403259277344,6.3269243240356445,5.5769877433776855,6.891327381134033
nodr,nominal,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.056074440479278564,0.3591161370277405,4.616021633148193,5.865988731384277,5.656190395355225,7.08748722076416
nodr,nominal,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.05603857710957527,0.40372568368911743,4.382784843444824,6.236695289611816,5.769943714141846,6.868163585662842
nodr,nominal,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.04675804823637009,0.4457036554813385,5.1209869384765625,6.622078895568848,5.315053939819336,6.864797592163086
nodr,nominal,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09053623676300049,0.36270037293434143,4.481857776641846,5.730237007141113,5.934247970581055,7.046289443969727
nodr,nominal,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0649404376745224,0.3670363426208496,4.470118999481201,5.879800319671631,5.759976387023926,7.190286159515381
nodr,nominal,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08826979249715805,0.39503106474876404,4.525446891784668,5.58193302154541,5.867000579833984,7.2289862632751465
nodr,nominal,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08390239626169205,0.36625930666923523,4.548995494842529,5.877735614776611,5.801793098449707,7.197310447692871
nodr,nominal,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08642330765724182,0.36938706040382385,4.488253593444824,5.585165023803711,5.8760809898376465,6.788341999053955
nodr,nominal,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09803067147731781,0.34611448645591736,4.588429927825928,5.631139278411865,5.959436416625977,7.157593727111816
nodr,low_friction,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13649438321590424,0.506323516368866,4.8176960945129395,5.829347610473633,3.8213367462158203,5.249891757965088
nodr,low_friction,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.1355794072151184,0.49568742513656616,4.666890621185303,5.6881489753723145,3.8249082565307617,6.131868839263916
nodr,low_friction,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.12772221863269806,0.49891191720962524,4.40516471862793,5.718448162078857,3.873417377471924,6.359986782073975
nodr,low_friction,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.12838976085186005,0.4615485370159149,4.7436299324035645,5.685797214508057,3.870328426361084,5.473243713378906
nodr,low_friction,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13921163976192474,0.512267529964447,4.6934614181518555,5.893353462219238,3.801288366317749,5.253990650177002
nodr,low_friction,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13862229883670807,0.4829334020614624,4.672995567321777,5.996557235717773,3.8825573921203613,5.707577705383301
nodr,low_friction,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.1355726569890976,0.5174767374992371,4.555351734161377,5.729474067687988,3.8129754066467285,5.086429595947266
nodr,low_friction,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13856834173202515,0.4851836562156677,4.906417369842529,5.855517387390137,3.9132943153381348,5.584261417388916
nodr,low_friction,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.13827508687973022,0.5207516551017761,4.728399276733398,5.8865203857421875,3.853076696395874,5.785672664642334
nodr,low_friction,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.14510326087474823,0.5122324228286743,4.731266021728516,5.7014641761779785,3.767388343811035,5.183021068572998
nodr,mass_plus,0.0,-0.6,0.0,0.0,35.0,0.7000000000000001,joint_vel_limit,0.19287113845348358,0.7927294969558716,4.058421611785889,6.644073009490967,2.5727648735046387,5.5019307136535645
