trial_idx,command_vy,command_wz,success,terminated_step,distance_y_w,final_root_z_w,final_pitch_deg
0.0,1.0,0.0,0.0,399.0,-0.04821205139160156,0.4572088420391083,-4.648436546325684
1.0,1.0,0.0,0.0,399.0,-0.16608047485351562,0.4123872220516205,-5.219584941864014
2.0,1.0,0.0,0.0,399.0,0.12111282348632812,0.41862648725509644,5.410895347595215
3.0,1.0,0.0,0.0,399.0,-0.008213043212890625,0.4430646300315857,-2.570094347000122
4.0,1.0,0.0,0.0,399.0,-0.1863231658935547,0.4251108467578888,-0.98458331823349
5.0,1.0,0.0,0.0,399.0,0.06549835205078125,0.44645795226097107,-4.987870216369629
6.0,1.0,0.0,0.0,399.0,-0.08087539672851562,0.4255266487598419,4.6235504150390625
7.0,1.0,0.0,0.0,399.0,0.12562942504882812,0.45458537340164185,1.4731330871582031
8.0,1.0,0.0,0.0,399.0,0.04449653625488281,0.46814215183258057,0.044401731342077255
9.0,1.0,0.0,0.0,399.0,0.12273597717285156,0.44177818298339844,2.1598522663116455
10.0,1.0,0.0,0.0,399.0,-0.09083175659179688,0.465548574924469,-2.308671712875366
11.0,1.0,0.0,0.0,399.0,0.0162200927734375,0.43037962913513184,5.158732891082764
12.0,1.0,0.0,0.0,399.0,0.045345306396484375,0.4466630220413208,3.4171223640441895
13.0,1.0,0.0,0.0,399.0,-0.10409355163574219,0.4576728343963623,3.5686073303222656
14.0,1.0,0.0,0.0,399.0,0.14235877990722656,0.41845786571502686,-3.7597603797912598
15.0,1.0,0.0,0.0,399.0,-0.07584190368652344,0.4740223288536072,-4.9358673095703125
16.0,1.0,0.0,0.0,399.0,0.014034271240234375,0.46359890699386597,3.294665575027466
17.0,1.0,0.0,0.0,399.0,0.13521575927734375,0.4230031967163086,-5.073151111602783
18.0,1.0,0.0,0.0,399.0,-0.18291664123535156,0.419211208820343,3.4685068130493164
19.0,1.0,0.0,0.0,399.0,0.10147666931152344,0.4290179908275604,-3.480070114135742
