model_name,shift_set,trial_idx,time_s,pitch_deg,pitch_rate_rad_s,roll_deg,roll_rate_rad_s
CMDFLAT,low_friction,0.0,0.0,-0.8276044130325317,-0.35279303789138794,-5.390965938568115,6.409069538116455
CMDFLAT,low_friction,0.0,0.02,-1.7604904174804688,-0.4652448892593384,-3.6596312522888184,5.969153881072998
CMDFLAT,low_friction,0.0,0.04,-1.6128466129302979,-0.14275196194648743,-4.822101593017578,9.01290225982666
CMDFLAT,low_friction,0.0,0.06,-0.42064473032951355,1.6996304988861084,-6.190277576446533,8.623326301574707
CMDFLAT,low_friction,0.0,0.08,-0.23747092485427856,-0.36734211444854736,-6.271059036254883,7.739798545837402
CMDFLAT,low_friction,0.0,0.1,-0.29484114050865173,-0.45213043689727783,-4.74057149887085,7.953829288482666
CMDFLAT,low_friction,0.0,0.12,-0.17770791053771973,-0.07591110467910767,-5.569565296173096,8.41603946685791
CMDFLAT,low_friction,0.0,0.14,0.06917576491832733,-0.5055199861526489,-6.357326984405518,7.340531349182129
CMDFLAT,low_friction,0.0,0.16,-0.3160131275653839,-0.33328837156295776,-5.186598300933838,5.306017875671387
CMDFLAT,low_friction,0.0,0.18,-0.38843971490859985,0.3577473759651184,-6.45950984954834,6.526559829711914
CMDFLAT,low_friction,0.0,0.2,-0.3988668620586395,-1.2339200973510742,-5.491645336151123,7.85507869720459
CMDFLAT,low_friction,0.0,0.22,-0.4904862344264984,-0.6315405964851379,-3.6833600997924805,6.44337797164917
CMDFLAT,low_friction,0.0,0.24,-0.5053573250770569,-1.0748276710510254,-4.469253063201904,6.338750839233398
CMDFLAT,low_friction,0.0,0.26,-0.5277912616729736,-0.7894713878631592,-3.855029582977295,6.862616062164307
CMDFLAT,low_friction,0.0,0.28,-0.6964888572692871,-0.28963327407836914,-4.972970962524414,7.441130638122559
CMDFLAT,low_friction,0.0,0.3,-0.9384671449661255,-0.4326804280281067,-4.652738094329834,7.448524475097656
CMDFLAT,low_friction,0.0,0.32,-0.22637395560741425,0.8834491968154907,-6.908849716186523,8.681661605834961
CMDFLAT,low_friction,0.0,0.34,0.5300023555755615,-0.4213649034500122,-5.381807804107666,9.180379867553711
CMDFLAT,low_friction,0.0,0.36,-0.24109871685504913,-0.19264258444309235,-5.339329242706299,8.650717735290527
CMDFLAT,low_friction,0.0,0.38,0.8476160168647766,-0.385437935590744,-6.1062912940979,8.17330265045166
CMDFLAT,low_friction,0.0,0.4,1.6712112426757812,-0.35767924785614014,-4.314532279968262,8.146677017211914
CMDFLAT,low_friction,0.0,0.42,1.1828374862670898,-0.6907937526702881,-4.239769458770752,7.161261558532715
CMDFLAT,low_friction,0.0,0.44,0.8964213728904724,0.2723730206489563,-5.156427383422852,5.813015937805176
CMDFLAT,low_friction,0.0,0.46,0.5198625326156616,-0.7753229737281799,-5.8649444580078125,5.379602432250977
CMDFLAT,low_friction,0.0,0.48,0.48022371530532837,0.28846997022628784,-7.0615925788879395,10.171957015991211
CMDFLAT,low_friction,0.0,0.5,0.559514582157135,-0.2793204188346863,-7.0646562576293945,8.259613037109375
CMDFLAT,low_friction,0.0,0.52,0.003085556672886014,-0.9151881337165833,-6.292378902435303,7.590062618255615
CMDFLAT,low_friction,0.0,0.54,-0.21003995835781097,0.08416545391082764,-4.2896270751953125,6.179677486419678
CMDFLAT,low_friction,0.0,0.56,0.03220907226204872,0.10881298780441284,-6.756372451782227,7.532369613647461
CMDFLAT,low_friction,0.0,0.58,0.6903398633003235,0.2945420444011688,-6.219054698944092,7.306291580200195
CMDFLAT,low_friction,0.0,0.6,0.651776909828186,-0.21473188698291779,-4.785058975219727,6.370373249053955
CMDFLAT,low_friction,0.0,0.62,-0.3062300682067871,-0.8442351818084717,-3.8780930042266846,4.7470316886901855
CMDFLAT,low_friction,0.0,0.64,-0.9334678649902344,-0.27527397871017456,-4.8121161460876465,6.079624652862549
CMDFLAT,low_friction,0.0,0.66,0.040898144245147705,0.9725403785705566,-5.612616539001465,6.970569133758545
CMDFLAT,low_friction,0.0,0.68,-0.1556815505027771,-0.4288162291049957,-4.962307453155518,6.921350479125977
CMDFLAT,low_friction,0.0,0.7000000000000001,-0.7780340313911438,-0.7733004689216614,-4.295382976531982,7.886868953704834
CMDFLAT,low_friction,0.0,0.72,-0.46644535660743713,0.4274631142616272,-5.0436201095581055,6.889139175415039
CMDFLAT,low_friction,0.0,0.74,-0.8156997561454773,-0.1280701756477356,-4.306893348693848,7.002397537231445
CMDFLAT,low_friction,0.0,0.76,-1.3151671886444092,-0.5653533935546875,-4.184711933135986,5.392665863037109
CMDFLAT,low_friction,0.0,0.78,-1.672501564025879,0.3897719383239746,-5.079550266265869,8.057641983032227
CMDFLAT,low_friction,0.0,0.8,-0.3735230565071106,0.3435544967651367,-6.506793022155762,8.179912567138672
CMDFLAT,low_friction,0.0,0.8200000000000001,0.11973100155591965,0.533160924911499,-5.451730251312256,8.325301170349121
CMDFLAT,low_friction,0.0,0.84,-0.16739684343338013,-0.9590875506401062,-4.4894795417785645,6.954410076141357
CMDFLAT,low_friction,0.0,0.86,-0.7861648201942444,0.10419714450836182,-5.536117076873779,5.930659294128418
CMDFLAT,low_friction,0.0,0.88,-0.5373660922050476,-0.0448489785194397,-5.3517608642578125,6.424203395843506
CMDFLAT,low_friction,0.0,0.9,-0.4164426028728485,-0.10630989074707031,-4.4947943687438965,5.591098308563232
CMDFLAT,low_friction,0.0,0.92,-0.2248276323080063,0.22461557388305664,-5.5262532234191895,6.372654914855957
CMDFLAT,low_friction,0.0,0.9400000000000001,0.11632736772298813,-0.18866288661956787,-5.994890213012695,7.934361457824707
CMDFLAT,low_friction,0.0,0.96,-1.1161853075027466,-1.0495456457138062,-3.495877504348755,6.573095321655273
CMDFLAT,low_friction,0.0,0.98,-1.332309603691101,-0.4851444959640503,-5.614587306976318,7.957984924316406
CMDFLAT,low_friction,0.0,1.0,-0.5565246939659119,-0.3438534736633301,-5.260471343994141,7.693328857421875
CMDFLAT,low_friction,0.0,1.02,-0.4148021340370178,-0.34831076860427856,-1.8197085857391357,6.901686668395996
CMDFLAT,low_friction,0.0,1.04,-0.5539276599884033,-0.14265036582946777,-5.236939430236816,6.254170894622803
CMDFLAT,low_friction,0.0,1.06,-0.6809170246124268,0.21691596508026123,-6.225436210632324,6.064253807067871
CMDFLAT,low_friction,0.0,1.08,-1.1737401485443115,-0.30945897102355957,-4.872100830078125,5.192537307739258
CMDFLAT,low_friction,0.0,1.1,-1.0240559577941895,0.4937717914581299,-5.227627277374268,9.293951988220215
CMDFLAT,low_friction,0.0,1.12,0.37208348512649536,1.170971393585205,-6.168006896972656,9.34342098236084
CMDFLAT,low_friction,0.0,1.1400000000000001,-0.33140048384666443,-0.9004809856414795,-4.103003978729248,7.0134148597717285
CMDFLAT,low_friction,0.0,1.16,-0.8363617658615112,-0.8363761901855469,-2.8868210315704346,5.702252388000488
CMDFLAT,low_friction,0.0,1.18,-0.630098283290863,-0.0927281379699707,-5.601142406463623,5.2945733070373535
CMDFLAT,low_friction,0.0,1.2,0.009032078087329865,-0.7948276400566101,-6.466166973114014,7.26154899597168
CMDFLAT,low_friction,0.0,1.22,-0.7070261240005493,-0.4388282299041748,-3.0382635593414307,7.173954486846924
CMDFLAT,low_friction,0.0,1.24,-0.7233352661132812,0.15966105461120605,-5.985661029815674,8.214181900024414
CMDFLAT,low_friction,0.0,1.26,-0.14226023852825165,-0.29769885540008545,-7.004985332489014,7.485608100891113
CMDFLAT,low_friction,0.0,1.28,-0.8186638951301575,-0.7871274352073669,-4.516834735870361,6.225757598876953
CMDFLAT,low_friction,0.0,1.3,-1.3086788654327393,0.0614168643951416,-5.5711469650268555,8.107998847961426
CMDFLAT,low_friction,0.0,1.32,-0.5113853812217712,0.09209656715393066,-7.098230838775635,10.531190872192383
CMDFLAT,low_friction,0.0,1.34,-0.45910313725471497,-0.3524116277694702,-6.28579568862915,7.150863170623779
CMDFLAT,low_friction,0.0,1.36,-0.7687727808952332,0.420076847076416,-5.541987895965576,6.376083850860596
CMDFLAT,low_friction,0.0,1.3800000000000001,-0.923335611820221,-0.4057953357696533,-6.029735565185547,7.126148700714111
CMDFLAT,low_friction,0.0,1.4000000000000001,-1.5831177234649658,-0.7271823883056641,-5.7650017738342285,6.613653659820557
CMDFLAT,low_friction,0.0,1.42,-1.5112621784210205,0.6493651866912842,-5.043601989746094,7.326575756072998
CMDFLAT,low_friction,0.0,1.44,-1.2881547212600708,0.1417696475982666,-5.845905303955078,8.54194450378418
CMDFLAT,low_friction,0.0,1.46,-0.9600418210029602,-0.2878859043121338,-5.3221635818481445,7.8269944190979
CMDFLAT,low_friction,0.0,1.48,-1.2661322355270386,-0.24953413009643555,-3.4564075469970703,5.998647689819336
CMDFLAT,low_friction,0.0,1.5,-0.9509939551353455,0.46204113960266113,-5.830318450927734,7.233432292938232
CMDFLAT,low_friction,0.0,1.52,-0.1534605771303177,0.016951322555541992,-6.298311710357666,7.092883110046387
CMDFLAT,low_friction,0.0,1.54,-0.4924117624759674,-0.305411696434021,-5.3836846351623535,5.720363616943359
CMDFLAT,low_friction,0.0,1.56,-0.03435250371694565,1.0847282409667969,-5.166445255279541,6.868767738342285
CMDFLAT,low_friction,0.0,1.58,-0.03623650595545769,-0.44264912605285645,-4.71151065826416,8.47864818572998
CMDFLAT,low_friction,0.0,1.6,-0.13926628232002258,0.13973641395568848,-4.3372368812561035,8.654861450195312
CMDFLAT,low_friction,0.0,1.62,-0.1690853238105774,-0.10317730903625488,-6.157461166381836,7.456009864807129
CMDFLAT,low_friction,0.0,1.6400000000000001,-0.14503765106201172,-0.5217065811157227,-6.762422561645508,7.135926246643066
CMDFLAT,low_friction,0.0,1.6600000000000001,-0.06702259927988052,-0.00650334358215332,-5.125946044921875,7.432608604431152
CMDFLAT,low_friction,0.0,1.68,-0.2945772409439087,0.40085434913635254,-6.065269947052002,6.69998836517334
