model_name,shift_set,trial_idx,command_vy,command_wz,survived,survival_steps,survival_time_s,termination_reason,rmse_vy,rmse_wz,mean_abs_pitch_deg,max_abs_pitch_deg,mean_abs_roll_deg,max_abs_roll_deg
robust,nominal,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09828934818506241,0.43121689558029175,1.7576358318328857,3.445927858352661,6.235653877258301,8.25839900970459
robust,nominal,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07406727224588394,0.3993285894393921,1.428356647491455,2.5426974296569824,6.461240291595459,8.40819263458252
robust,nominal,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09760676324367523,0.3934784531593323,1.9122964143753052,3.677825927734375,6.271419048309326,8.766386032104492
robust,nominal,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.10818742960691452,0.4231661260128021,2.073768138885498,3.462886095046997,6.2077717781066895,9.037867546081543
robust,nominal,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09061432629823685,0.39736443758010864,1.6304824352264404,2.9921927452087402,6.512067794799805,8.719734191894531
robust,nominal,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.10209973901510239,0.3817887306213379,2.1146140098571777,3.5577640533447266,6.331844329833984,8.57031536102295
robust,nominal,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.10977194458246231,0.4110223054885864,2.119541883468628,3.4944396018981934,6.085989475250244,8.218072891235352
robust,nominal,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08380052447319031,0.40797728300094604,1.7421923875808716,2.880575656890869,6.342701435089111,8.241869926452637
robust,nominal,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.10059206932783127,0.3532744348049164,1.847671389579773,3.075148344039917,6.421982288360596,8.35550594329834
robust,nominal,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.1028275117278099,0.4391225278377533,2.1910085678100586,3.629075527191162,6.181944370269775,8.153695106506348
robust,low_friction,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0706183984875679,0.3904664218425751,0.6621265411376953,1.7428895235061646,5.956920146942139,8.043283462524414
robust,low_friction,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08656119555234909,0.4107714295387268,1.0621730089187622,2.697050094604492,5.979039192199707,8.389530181884766
robust,low_friction,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0817030519247055,0.37907087802886963,0.94282066822052,2.364816665649414,5.829463481903076,8.528783798217773
robust,low_friction,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07979246228933334,0.41712215542793274,0.7943177819252014,1.9682844877243042,6.014184474945068,8.508028030395508
robust,low_friction,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09226138889789581,0.33151116967201233,1.3723629713058472,3.411341667175293,5.853177070617676,8.65595817565918
robust,low_friction,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0834885686635971,0.3310822546482086,0.854642391204834,2.074550151824951,5.91193962097168,8.277963638305664
robust,low_friction,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.06603217869997025,0.3822466731071472,0.7624855041503906,2.2090225219726562,5.857131481170654,8.344507217407227
