run,stage,global_step,plot_value,tag,label
cmd_flat_v1.2,平地基础,459.5,0.5113995378452798,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
robust_v2_finetune,DR微调,1057.5,0.5562675489642194,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
rough_light_v1,轻度崎岖,1428.5,0.5874342739225804,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
rough_light_v1.1,崎岖强化,2215.5,0.7572543641077769,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
slope_v1,连续坡地,2908.5,0.7407111289696994,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
mixed_v1,混合地形,3279.5,0.8725154142283846,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
unstructured_v1,非结构地形,3751.0,0.9214484779093446,Metrics/base_velocity/error_vel_yaw,角速度跟踪误差
cmd_flat_v1.2,平地基础,459.5,498.0450232552791,Train/mean_episode_length,平均回合长度
robust_v2_finetune,DR微调,1057.5,464.9121944585976,Train/mean_episode_length,平均回合长度
rough_light_v1,轻度崎岖,1428.5,488.24059130368283,Train/mean_episode_length,平均回合长度
rough_light_v1.1,崎岖强化,2215.5,423.6804165185958,Train/mean_episode_length,平均回合长度
slope_v1,连续坡地,2908.5,483.19253471042794,Train/mean_episode_length,平均回合长度
mixed_v1,混合地形,3279.5,480.65414224629023,Train/mean_episode_length,平均回合长度
unstructured_v1,非结构地形,3751.0,444.3130489505372,Train/mean_episode_length,平均回合长度
cmd_flat_v1.2,平地基础,459.5,60.480043783348194,Train/mean_reward,平均累积奖励
robust_v2_finetune,DR微调,1057.5,54.66299584238541,Train/mean_reward,平均累积奖励
rough_light_v1,轻度崎岖,1428.5,56.85448618991896,Train/mean_reward,平均累积奖励
rough_light_v1.1,崎岖强化,2215.5,41.06719986013328,Train/mean_reward,平均累积奖励
slope_v1,连续坡地,2908.5,48.301557325280235,Train/mean_reward,平均累积奖励
mixed_v1,混合地形,3279.5,43.45542409594306,Train/mean_reward,平均累积奖励
unstructured_v1,非结构地形,3751.0,39.21127819371157,Train/mean_reward,平均累积奖励
